"W1" "W2" "W3" "W4"
"477" 0.87 0.07 0.06 0
"478" 0.87 0.07 0.05 0.01
"479" 0.87 0.07 0.04 0.02
"480" 0.87 0.07 0.03 0.03
"481" 0.87 0.07 0.02 0.04
"482" 0.87 0.07 0.01 0.05
"483" 0.87 0.07 0 0.06
"484" 0.87 0.06 0.07 0
"485" 0.87 0.06 0.06 0.01
"486" 0.87 0.06 0.05 0.02
"487" 0.87 0.06 0.04 0.03
"488" 0.87 0.06 0.03 0.04
"489" 0.87 0.06 0.02 0.05
"490" 0.87 0.06 0.01 0.06
"491" 0.87 0.06 0 0.07
"492" 0.87 0.05 0.08 0
"493" 0.87 0.05 0.07 0.01
"494" 0.87 0.05 0.06 0.02
"495" 0.87 0.05 0.05 0.03
"496" 0.87 0.05 0.04 0.04
"497" 0.87 0.05 0.03 0.05
"498" 0.87 0.05 0.02 0.06
"499" 0.87 0.05 0.01 0.07
"500" 0.87 0.05 0 0.08
"501" 0.87 0.04 0.09 0
"502" 0.87 0.04 0.08 0.01
"503" 0.87 0.04 0.07 0.02
"504" 0.87 0.04 0.06 0.03
"505" 0.87 0.04 0.05 0.04
"506" 0.87 0.04 0.04 0.05
"507" 0.87 0.04 0.03 0.06
"508" 0.87 0.04 0.02 0.07
"509" 0.87 0.04 0.01 0.08
"510" 0.87 0.04 0 0.09
"511" 0.87 0.03 0.1 0
"512" 0.87 0.03 0.09 0.01
"513" 0.87 0.03 0.08 0.02
"514" 0.87 0.03 0.07 0.03
"515" 0.87 0.03 0.06 0.04
"516" 0.87 0.03 0.05 0.05
"517" 0.87 0.03 0.04 0.06
"518" 0.87 0.03 0.03 0.07
"519" 0.87 0.03 0.02 0.08
"520" 0.87 0.03 0.01 0.09
"521" 0.87 0.03 0 0.1
"522" 0.87 0.02 0.11 0
"523" 0.87 0.02 0.1 0.01
"524" 0.87 0.02 0.09 0.02
"525" 0.87 0.02 0.08 0.03
"526" 0.87 0.02 0.07 0.04
"527" 0.87 0.02 0.06 0.05
"528" 0.87 0.02 0.05 0.06
"529" 0.87 0.02 0.04 0.07
"530" 0.87 0.02 0.03 0.08
"531" 0.87 0.02 0.02 0.09
"532" 0.87 0.02 0.01 0.1
"533" 0.87 0.02 0 0.11
"534" 0.87 0.01 0.12 0
"535" 0.87 0.01 0.11 0.01
"536" 0.87 0.01 0.1 0.02
"537" 0.87 0.01 0.09 0.03
"538" 0.87 0.01 0.08 0.04
"539" 0.87 0.01 0.07 0.05
"540" 0.87 0.01 0.06 0.06
"541" 0.87 0.01 0.05 0.07
"542" 0.87 0.01 0.04 0.08
"543" 0.87 0.01 0.03 0.09
"544" 0.87 0.01 0.02 0.1
"545" 0.87 0.01 0.01 0.11
"546" 0.87 0.01 0 0.12
"547" 0.87 0 0.13 0
"548" 0.87 0 0.12 0.01
"549" 0.87 0 0.11 0.02
"550" 0.87 0 0.1 0.03
"551" 0.87 0 0.09 0.04
"552" 0.87 0 0.08 0.05
"553" 0.87 0 0.07 0.06
"554" 0.87 0 0.06 0.07
"555" 0.87 0 0.05 0.08
"556" 0.87 0 0.04 0.09
"557" 0.87 0 0.03 0.1
"558" 0.87 0 0.02 0.11
"559" 0.87 0 0.01 0.12
"560" 0.87 0 0 0.13
"561" 0.86 0.14 0 0
"562" 0.86 0.13 0.01 0
"563" 0.86 0.13 0 0.01
"564" 0.86 0.12 0.02 0
"565" 0.86 0.12 0.01 0.01
"566" 0.86 0.12 0 0.02
"567" 0.86 0.11 0.03 0
"568" 0.86 0.11 0.02 0.01
"569" 0.86 0.11 0.01 0.02
"570" 0.86 0.11 0 0.03
"571" 0.86 0.1 0.04 0
"572" 0.86 0.1 0.03 0.01
"573" 0.86 0.1 0.02 0.02
"574" 0.86 0.1 0.01 0.03
"575" 0.86 0.1 0 0.04
"576" 0.86 0.09 0.05 0
"577" 0.86 0.09 0.04 0.01
"578" 0.86 0.09 0.03 0.02
"579" 0.86 0.09 0.02 0.03
"580" 0.86 0.09 0.01 0.04
"581" 0.86 0.09 0 0.05
"582" 0.86 0.08 0.06 0
"583" 0.86 0.08 0.05 0.01
"584" 0.86 0.08 0.04 0.02
"585" 0.86 0.08 0.03 0.03
"586" 0.86 0.08 0.02 0.04
"587" 0.86 0.08 0.01 0.05
"588" 0.86 0.08 0 0.06
"589" 0.86 0.07 0.07 0
"590" 0.86 0.07 0.06 0.01
"591" 0.86 0.07 0.05 0.02
"592" 0.86 0.07 0.04 0.03
"593" 0.86 0.07 0.03 0.04
"594" 0.86 0.07 0.02 0.05
"595" 0.86 0.07 0.01 0.06
"596" 0.86 0.07 0 0.07
"597" 0.86 0.06 0.08 0
"598" 0.86 0.06 0.07 0.01
"599" 0.86 0.06 0.06 0.02
"600" 0.86 0.06 0.05 0.03
"601" 0.86 0.06 0.04 0.04
"602" 0.86 0.06 0.03 0.05
"603" 0.86 0.06 0.02 0.06
"604" 0.86 0.06 0.01 0.07
"605" 0.86 0.06 0 0.08
"606" 0.86 0.05 0.09 0
"607" 0.86 0.05 0.08 0.01
"608" 0.86 0.05 0.07 0.02
"609" 0.86 0.05 0.06 0.03
"610" 0.86 0.05 0.05 0.04
"611" 0.86 0.05 0.04 0.05
"612" 0.86 0.05 0.03 0.06
"613" 0.86 0.05 0.02 0.07
"614" 0.86 0.05 0.01 0.08
"615" 0.86 0.05 0 0.09
"616" 0.86 0.04 0.1 0
"617" 0.86 0.04 0.09 0.01
"618" 0.86 0.04 0.08 0.02
"619" 0.86 0.04 0.07 0.03
"620" 0.86 0.04 0.06 0.04
"621" 0.86 0.04 0.05 0.05
"622" 0.86 0.04 0.04 0.06
"623" 0.86 0.04 0.03 0.07
"624" 0.86 0.04 0.02 0.08
"625" 0.86 0.04 0.01 0.09
"626" 0.86 0.04 0 0.1
"627" 0.86 0.03 0.11 0
"628" 0.86 0.03 0.1 0.01
"629" 0.86 0.03 0.09 0.02
"630" 0.86 0.03 0.08 0.03
"631" 0.86 0.03 0.07 0.04
"632" 0.86 0.03 0.06 0.05
"633" 0.86 0.03 0.05 0.06
"634" 0.86 0.03 0.04 0.07
"635" 0.86 0.03 0.03 0.08
"636" 0.86 0.03 0.02 0.09
"637" 0.86 0.03 0.01 0.1
"638" 0.86 0.03 0 0.11
"639" 0.86 0.02 0.12 0
"640" 0.86 0.02 0.11 0.01
"641" 0.86 0.02 0.1 0.02
"642" 0.86 0.02 0.09 0.03
"643" 0.86 0.02 0.08 0.04
"644" 0.86 0.02 0.07 0.05
"645" 0.86 0.02 0.06 0.06
"646" 0.86 0.02 0.05 0.07
"647" 0.86 0.02 0.04 0.08
"648" 0.86 0.02 0.03 0.09
"649" 0.86 0.02 0.02 0.1
"650" 0.86 0.02 0.01 0.11
"651" 0.86 0.02 0 0.12
"652" 0.86 0.01 0.13 0
"653" 0.86 0.01 0.12 0.01
"654" 0.86 0.01 0.11 0.02
"655" 0.86 0.01 0.1 0.03
"656" 0.86 0.01 0.09 0.04
"657" 0.86 0.01 0.08 0.05
"658" 0.86 0.01 0.07 0.06
"659" 0.86 0.01 0.06 0.07
"660" 0.86 0.01 0.05 0.08
"661" 0.86 0.01 0.04 0.09
"662" 0.86 0.01 0.03 0.1
"663" 0.86 0.01 0.02 0.11
"664" 0.86 0.01 0.01 0.12
"665" 0.86 0.01 0 0.13
"666" 0.86 0 0.14 0
"667" 0.86 0 0.13 0.01
"668" 0.86 0 0.12 0.02
"669" 0.86 0 0.11 0.03
"670" 0.86 0 0.1 0.04
"671" 0.86 0 0.09 0.05
"672" 0.86 0 0.08 0.06
"673" 0.86 0 0.07 0.07
"674" 0.86 0 0.06 0.08
"675" 0.86 0 0.05 0.09
"676" 0.86 0 0.04 0.1
"677" 0.86 0 0.03 0.11
"678" 0.86 0 0.02 0.12
"679" 0.86 0 0.01 0.13
"680" 0.86 0 0 0.14
"681" 0.85 0.15 0 0
"682" 0.85 0.14 0.01 0
"683" 0.85 0.14 0 0.01
"684" 0.85 0.13 0.02 0
"685" 0.85 0.13 0.01 0.01
"686" 0.85 0.13 0 0.02
"687" 0.85 0.12 0.03 0
"688" 0.85 0.12 0.02 0.01
"689" 0.85 0.12 0.01 0.02
"690" 0.85 0.12 0 0.03
"691" 0.85 0.11 0.04 0
"692" 0.85 0.11 0.03 0.01
"693" 0.85 0.11 0.02 0.02
"694" 0.85 0.11 0.01 0.03
"695" 0.85 0.11 0 0.04
"696" 0.85 0.1 0.05 0
"697" 0.85 0.1 0.04 0.01
"698" 0.85 0.1 0.03 0.02
"699" 0.85 0.1 0.02 0.03
"700" 0.85 0.1 0.01 0.04
"701" 0.85 0.1 0 0.05
"702" 0.85 0.09 0.06 0
"703" 0.85 0.09 0.05 0.01
"704" 0.85 0.09 0.04 0.02
"705" 0.85 0.09 0.03 0.03
"706" 0.85 0.09 0.02 0.04
"707" 0.85 0.09 0.01 0.05
"708" 0.85 0.09 0 0.06
"709" 0.85 0.08 0.07 0
"710" 0.85 0.08 0.06 0.01
"711" 0.85 0.08 0.05 0.02
"712" 0.85 0.08 0.04 0.03
"713" 0.85 0.08 0.03 0.04
"714" 0.85 0.08 0.02 0.05
"715" 0.85 0.08 0.01 0.06
"716" 0.85 0.08 0 0.07
"717" 0.85 0.07 0.08 0
"718" 0.85 0.07 0.07 0.01
"719" 0.85 0.07 0.06 0.02
"720" 0.85 0.07 0.05 0.03
"721" 0.85 0.07 0.04 0.04
"722" 0.85 0.07 0.03 0.05
"723" 0.85 0.07 0.02 0.06
