"W1"	"W2"	"W3"
"574"	-0.67	0.79	0.88
"575"	-0.67	0.8	0.87
"576"	-0.67	0.81	0.86
"577"	-0.67	0.82	0.85
"578"	-0.67	0.83	0.84
"579"	-0.67	0.84	0.83
"580"	-0.67	0.85	0.82
"581"	-0.67	0.86	0.81
"582"	-0.67	0.87	0.8
"583"	-0.67	0.88	0.79
"584"	-0.67	0.89	0.78
"585"	-0.67	0.9	0.77
"586"	-0.67	0.91	0.76
"587"	-0.67	0.92	0.75
"588"	-0.67	0.93	0.74
"589"	-0.67	0.94	0.73
"590"	-0.67	0.95	0.72
"591"	-0.67	0.96	0.71
"592"	-0.67	0.97	0.7
"593"	-0.67	0.98	0.69
"594"	-0.67	0.99	0.68
"595"	-0.67	1	0.67
"596"	-0.66	0.66	1
"597"	-0.66	0.67	0.99
"598"	-0.66	0.68	0.98
"599"	-0.66	0.69	0.97
"600"	-0.66	0.7	0.96
"601"	-0.66	0.71	0.95
"602"	-0.66	0.72	0.94
"603"	-0.66	0.73	0.93
"604"	-0.66	0.74	0.92
"605"	-0.66	0.75	0.91
"606"	-0.66	0.76	0.9
"607"	-0.66	0.77	0.89
"608"	-0.66	0.78	0.88
"609"	-0.66	0.79	0.87
"610"	-0.66	0.8	0.86
"611"	-0.66	0.81	0.85
"612"	-0.66	0.82	0.84
"613"	-0.66	0.83	0.83
"614"	-0.66	0.84	0.82
"615"	-0.66	0.85	0.81
"616"	-0.66	0.86	0.8
"617"	-0.66	0.87	0.79
"618"	-0.66	0.88	0.78
"619"	-0.66	0.89	0.77
"620"	-0.66	0.9	0.76
"621"	-0.66	0.91	0.75
"622"	-0.66	0.92	0.74
"623"	-0.66	0.93	0.73
"624"	-0.66	0.94	0.72
"625"	-0.66	0.95	0.71
"626"	-0.66	0.96	0.7
"627"	-0.66	0.97	0.69
"628"	-0.66	0.98	0.68
"629"	-0.66	0.99	0.67
"630"	-0.66	1	0.66
"631"	-0.65	0.65	1
"632"	-0.65	0.66	0.99
"633"	-0.65	0.67	0.98
"634"	-0.65	0.68	0.97
"635"	-0.65	0.69	0.96
"636"	-0.65	0.7	0.95
"637"	-0.65	0.71	0.94
"638"	-0.65	0.72	0.93
"639"	-0.65	0.73	0.92
"640"	-0.65	0.74	0.91
"641"	-0.65	0.75	0.9
"642"	-0.65	0.76	0.89
"643"	-0.65	0.77	0.88
"644"	-0.65	0.78	0.87
"645"	-0.65	0.79	0.86
"646"	-0.65	0.8	0.85
"647"	-0.65	0.81	0.84
"648"	-0.65	0.82	0.83
"649"	-0.65	0.83	0.82
"650"	-0.65	0.84	0.81
